Num_Convexity_Defects,Contour_Hull_Ratio,Aspect_Ratio,Circularity,Type
4,0.6835660340877798,0.8151898732113443,0.14554655489294885,open palm
4,0.6758559391081373,0.79166666650959,0.12383518561980408,open palm
4,0.6746327632635033,0.8198614316813253,0.13776769509931944,open palm
4,0.6598993237045717,0.8526077095572318,0.11972824571931905,open palm
4,0.674580452118778,0.7991169976160889,0.12878954234635476,open palm
4,0.6802607769190442,0.7804347824390359,0.13462937651035536,open palm
4,0.6461005267952628,0.8712446350061707,0.1254217908252788,open palm
4,0.6750006000816111,0.8514150941388171,0.14261109774625394,open palm
4,0.676638289840964,0.8377088303489955,0.14275753597837287,open palm
4,0.65774402510275,0.8851674639030699,0.14420540041381535,open palm
4,0.6820766478476368,0.7943262409469678,0.144260272192971,open palm
4,0.6833911859706936,0.8142857140918367,0.13722800974613736,open palm
4,0.7113526273082692,0.7531486144198618,0.12683453042770393,open palm
4,0.6460343045792345,0.8870636548486522,0.13953723197737902,open palm
4,0.7818281261453276,0.6249999998553241,0.14483293157326513,open palm
4,0.7149888909898837,0.7310513445645351,0.13429550686456965,open palm
4,0.7424352407880243,0.6877828052742573,0.13577304218392616,open palm
4,0.6787182908107318,0.823798626813776,0.13706264085586517,open palm
4,0.6792974281668266,0.8215102972948488,0.13912106333438748,open palm
4,0.7730901403812549,0.6388261849573755,0.1369101107755981,open palm
4,0.7631682648101931,0.6581986141666978,0.1575586219704456,open palm
4,0.7217419148254883,0.711111110935528,0.1301144529669697,open palm
4,0.683582607239608,0.8273195874156393,0.12495564936381377,open palm
4,0.647760529683414,0.8865546216624884,0.13544825124010004,open palm
4,0.6865169574834111,0.8205741624831162,0.14562672573057567,open palm
4,0.6813900338528134,0.8014184395268514,0.1421270169389248,open palm
4,0.6544538650506132,0.8875598084001053,0.14214441819379264,open palm
4,0.6962529801188978,0.7957244653691865,0.14270527802041658,open palm
4,0.6819743799770264,0.8349056601804468,0.14390510130404582,open palm
4,0.6543469279348404,0.8626609440208882,0.12737863626760182,open palm
4,0.6785146103166543,0.7879464283955476,0.12157808904455511,open palm
4,0.6647997858061457,0.8490990989078605,0.12353482472533903,open palm
4,0.6759321449317456,0.8017817370151933,0.13200005539770548,open palm
4,0.6759177599941931,0.789999999842,0.12202933361033744,open palm
4,0.677089497479111,0.8244803693246003,0.13693822772503647,open palm
4,0.6876957494407159,0.824146981410985,0.14448027888363077,open palm
4,0.6629347150806973,0.8609865468921555,0.12933051362555426,open palm
4,0.6760837777395493,0.8030303028564869,0.13479341051802282,open palm
4,0.6718744394618834,0.8352144467640599,0.1388566430264312,open palm
4,0.6767351030328249,0.8183908044095652,0.1373430651325896,open palm
4,0.6767308171227759,0.7866927591415473,0.11982332306993451,open palm
4,0.6656348559851285,0.8427947596413111,0.12494754329757729,open palm
4,0.6814328595857722,0.7633262258500371,0.11992435063647208,open palm
4,0.6566449700452319,0.8918269228625415,0.14581179110293616,open palm
4,0.6685240727671921,0.8544152742590894,0.1425813388758923,open palm
4,0.7176949754875726,0.7334905658647427,0.1463995780824452,open palm
4,0.6856790377300298,0.7957244653691865,0.1446001482099027,open palm
4,0.6354911126277519,0.9272727270619834,0.13523989136334183,open palm
4,0.7012661251791686,0.7696078429486255,0.13685572393850132,open palm
4,0.7114371635987511,0.7545454543739669,0.13961516515544567,open palm
4,0.6457473720160916,0.8910675379322293,0.14087621988492463,open palm
